antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'visage'}),frozenset({'art'}),0.031150338215279613,0.031150338215279613,0.031150338215279613,1.0,32.10238017606782,0.030179994644353305,inf,1.0
frozenset({'art'}),frozenset({'visage'}),0.031150338215279613,0.031150338215279613,0.031150338215279613,1.0,32.10238017606782,0.030179994644353305,inf,1.0
frozenset({'benovy'}),frozenset({'irisk'}),0.01785532917589226,0.308669686566861,0.011609010948830973,0.6501706484641638,2.1063637822541095,0.006097612088560181,1.9761929935210705,0.5347971782741222
frozenset({'benovy'}),frozenset({'runail'}),0.01785532917589226,0.35965589388368646,0.01158869771882427,0.649032992036405,1.804594344410504,0.005166923343481272,1.8245136767463195,0.4539645279318292
frozenset({'bluesky'}),frozenset({'irisk'}),0.05067135225172155,0.308669686566861,0.025482947043409372,0.5029063940669473,1.6292704335837416,0.009842236625951475,1.3907447313378751,0.4068436703539406
frozenset({'bluesky'}),frozenset({'runail'}),0.05067135225172155,0.35965589388368646,0.030642507465112028,0.6047304068951693,1.6814138658067996,0.012418256976723965,1.620018633577225,0.4268937095779023
frozenset({'de_lux'}),frozenset({'bpw_style'}),0.03795527026752524,0.11270795669219362,0.02105466290194804,0.5547230398715548,4.921773547776295,0.0167768019443953,1.9926744987026883,0.8282579636614567
frozenset({'freedecor'}),frozenset({'bpw_style'}),0.06280850718072681,0.11270795669219362,0.0467915253204412,0.7449870633893919,6.609888824654659,0.03971250681321451,3.479400124169609,0.9055902998835222
frozenset({'bpw_style'}),frozenset({'irisk'}),0.11270795669219362,0.308669686566861,0.06268662780068658,0.5561863566729747,1.80188201458681,0.02789709813491583,1.5577040585111763,0.5015538117350578
frozenset({'bpw_style'}),frozenset({'runail'}),0.11270795669219362,0.35965589388368646,0.07044628166324728,0.6250337929170047,1.7378661202175156,0.02991020075131256,1.707738174855259,0.4785140192453625
frozenset({'cosmoprofi'}),frozenset({'irisk'}),0.03754900566739117,0.308669686566861,0.01979524264153243,0.5271842034081687,1.7079234740272278,0.008205002831281508,1.4621557029532692,0.4306647044727669
frozenset({'cosmoprofi'}),frozenset({'runail'}),0.03754900566739117,0.35965589388368646,0.02468057445814459,0.6572896943467675,1.8275515722796316,0.011175853260395408,1.8684705290544676,0.4704861044612864
