support,itemsets
0.014808344674886753,"frozenset({'jessnail', 'grattol'})"
0.014371610229742631,"frozenset({'lianail', 'grattol'})"
0.012441853379105812,"frozenset({'lovely', 'grattol'})"
0.03733571675232079,"frozenset({'masura', 'grattol'})"
0.019521014036441936,"frozenset({'milv', 'grattol'})"
0.013264539194377298,"frozenset({'pole', 'grattol'})"
0.01249263645412257,"frozenset({'roubloff', 'grattol'})"
0.0908102947449674,"frozenset({'runail', 'grattol'})"
0.020496049076763695,"frozenset({'severina', 'grattol'})"
0.011273842653720369,"frozenset({'staleks', 'grattol'})"
0.036421621402019135,"frozenset({'uno', 'grattol'})"
0.013051250279306913,"frozenset({'yoko', 'grattol'})"
0.01737796827073473,"frozenset({'zinger', 'grattol'})"
0.011720733713867842,"frozenset({'ingarden', 'haruyama'})"
0.01899287005626765,"frozenset({'irisk', 'haruyama'})"
0.0111621198886835,"frozenset({'masura', 'haruyama'})"
0.023238335127668652,"frozenset({'runail', 'haruyama'})"
0.0651445286314977,"frozenset({'irisk', 'ingarden'})"
0.012391070304089053,"frozenset({'ingarden', 'jessnail'})"
0.010644132523512564,"frozenset({'lianail', 'ingarden'})"
0.031658168965447195,"frozenset({'masura', 'ingarden'})"
0.01905380974628776,"frozenset({'milv', 'ingarden'})"
0.011649637408844381,"frozenset({'pole', 'ingarden'})"
0.010674602368522619,"frozenset({'roubloff', 'ingarden'})"
0.07713949095045604,"frozenset({'runail', 'ingarden'})"
0.01743890796075484,"frozenset({'severina', 'ingarden'})"
0.024934489833228383,"frozenset({'uno', 'ingarden'})"
0.010430843608442179,"frozenset({'yoko', 'ingarden'})"
0.01460521237481972,"frozenset({'zinger', 'ingarden'})"
0.021887505332222876,"frozenset({'irisk', 'italwax'})"
0.030012797334904223,"frozenset({'irisk', 'jessnail'})"
0.01888114729123078,"frozenset({'irisk', 'kapous'})"
0.01726624550569786,"frozenset({'lianail', 'irisk'})"
0.023624286497796014,"frozenset({'irisk', 'lovely'})"
0.06187409860041845,"frozenset({'masura', 'irisk'})"
0.01635215015539621,"frozenset({'irisk', 'metzger'})"
0.035030165146559954,"frozenset({'milv', 'irisk'})"
0.018281907006033028,"frozenset({'irisk', 'nagaraku'})"
0.013782526559548234,"frozenset({'irisk', 'pnb'})"
0.023563346807775904,"frozenset({'irisk', 'pole'})"
0.012157468159011964,"frozenset({'irisk', 'rosi'})"
0.018485039306100064,"frozenset({'roubloff', 'irisk'})"
0.17870564098397287,"frozenset({'irisk', 'runail'})"
0.042322614718966464,"frozenset({'irisk', 'severina'})"
0.01925694204635479,"frozenset({'irisk', 'staleks'})"
0.04472973247476081,"frozenset({'irisk', 'uno'})"
0.01110118019866339,"frozenset({'uskusi', 'irisk'})"
0.013020780434296858,"frozenset({'irisk', 'visage'})"
0.02546263381340267,"frozenset({'irisk', 'yoko'})"
0.03257226431574885,"frozenset({'irisk', 'zinger'})"
0.019957748481586057,"frozenset({'runail', 'italwax'})"
0.013295009039387353,"frozenset({'masura', 'jessnail'})"
0.032917589225862805,"frozenset({'runail', 'jessnail'})"
0.019835869101545837,"frozenset({'runail', 'kapous'})"
0.01957179711145869,"frozenset({'lianail', 'runail'})"
0.023451624042739035,"frozenset({'lovely', 'runail'})"
0.017022486745617422,"frozenset({'masura', 'milv'})"
0.012685612139186252,"frozenset({'masura', 'pole'})"
0.07669259989030856,"frozenset({'masura', 'runail'})"
0.01883036421621402,"frozenset({'masura', 'severina'})"
0.019338194966381603,"frozenset({'masura', 'uno'})"
0.013355948729407463,"frozenset({'masura', 'zinger'})"
0.018119401165979404,"frozenset({'metzger', 'runail'})"
0.037934957037518535,"frozenset({'milv', 'runail'})"
0.011304312498730424,"frozenset({'milv', 'uno'})"
0.014991163744947083,"frozenset({'nagaraku', 'runail'})"
0.01585447602023198,"frozenset({'runail', 'pnb'})"
0.027686932499136688,"frozenset({'runail', 'pole'})"
0.014351296999735927,"frozenset({'runail', 'rosi'})"
0.02136951796705194,"frozenset({'roubloff', 'runail'})"
0.04797984927583335,"frozenset({'runail', 'severina'})"
0.02076012106685084,"frozenset({'runail', 'staleks'})"
0.010146458388348331,"frozenset({'runail', 'swarovski'})"
0.051453411606979624,"frozenset({'uno', 'runail'})"
0.012898901054256638,"frozenset({'uskusi', 'runail'})"
0.01255357614414268,"frozenset({'visage', 'runail'})"
0.026894716528875255,"frozenset({'yoko', 'runail'})"
0.034908285766519734,"frozenset({'runail', 'zinger'})"
0.013254382579373947,"frozenset({'uno', 'severina'})"
0.010390217148428771,"frozenset({'severina', 'zinger'})"
0.010857421438582949,"frozenset({'uno', 'zinger'})"
0.013020780434296858,"frozenset({'irisk', 'visage', 'art'})"
0.01255357614414268,"frozenset({'visage', 'runail', 'art'})"
0.010481626683458936,"frozenset({'bluesky', 'runail', 'grattol'})"
0.019642893416482156,"frozenset({'irisk', 'bluesky', 'runail'})"
0.010420686993438826,"frozenset({'masura', 'bluesky', 'runail'})"
0.01195433585894493,"frozenset({'de_lux', 'bpw_style', 'freedecor'})"
0.01442239330475939,"frozenset({'irisk', 'de_lux', 'bpw_style'})"
0.015153669585000711,"frozenset({'de_lux', 'bpw_style', 'runail'})"
0.015712283410185053,"frozenset({'irisk', 'domix', 'bpw_style'})"
0.01635215015539621,"frozenset({'domix', 'bpw_style', 'runail'})"
0.019084279591297812,"frozenset({'freedecor', 'bpw_style', 'grattol'})"
0.016961547055597312,"frozenset({'freedecor', 'bpw_style', 'ingarden'})"
0.02752442665908306,"frozenset({'irisk', 'freedecor', 'bpw_style'})"
0.013680960409514716,"frozenset({'masura', 'freedecor', 'bpw_style'})"
0.01660606553048,"frozenset({'milv', 'freedecor', 'bpw_style'})"
0.029728412114810376,"frozenset({'freedecor', 'bpw_style', 'runail'})"
0.010674602368522619,"frozenset({'uno', 'freedecor', 'bpw_style'})"
0.018139714395986106,"frozenset({'bpw_style', 'ingarden', 'grattol'})"
0.027605679579109876,"frozenset({'irisk', 'bpw_style', 'grattol'})"
0.013437201649434277,"frozenset({'masura', 'bpw_style', 'grattol'})"
0.01122305957870361,"frozenset({'milv', 'bpw_style', 'grattol'})"
0.030256556094984663,"frozenset({'bpw_style', 'runail', 'grattol'})"
0.013345792114404112,"frozenset({'uno', 'bpw_style', 'grattol'})"
0.02540169412338256,"frozenset({'irisk', 'bpw_style', 'ingarden'})"
0.01284811797923988,"frozenset({'masura', 'bpw_style', 'ingarden'})"
0.010786325133559488,"frozenset({'milv', 'bpw_style', 'ingarden'})"
0.02763614942411993,"frozenset({'bpw_style', 'runail', 'ingarden'})"
0.0102581811533852,"frozenset({'uno', 'bpw_style', 'ingarden'})"
0.02099372321192793,"frozenset({'masura', 'bpw_style', 'irisk'})"
0.0178045461008755,"frozenset({'milv', 'bpw_style', 'irisk'})"
0.04776656036076297,"frozenset({'irisk', 'bpw_style', 'runail'})"
0.012380913689085702,"frozenset({'irisk', 'bpw_style', 'severina'})"
0.01598651201527555,"frozenset({'irisk', 'uno', 'bpw_style'})"
0.023441467427735684,"frozenset({'masura', 'bpw_style', 'runail'})"
0.018728798066180503,"frozenset({'milv', 'bpw_style', 'runail'})"
0.01356923764447785,"frozenset({'bpw_style', 'runail', 'severina'})"
0.017154522740660993,"frozenset({'uno', 'bpw_style', 'runail'})"
0.010115988543338277,"frozenset({'bpw_style', 'runail', 'zinger'})"
0.010826951593572894,"frozenset({'cosmoprofi', 'runail', 'grattol'})"
0.01575290987019846,"frozenset({'cosmoprofi', 'runail', 'irisk'})"
0.010593349448495805,"frozenset({'irisk', 'de_lux', 'grattol'})"
0.011558227873814214,"frozenset({'de_lux', 'runail', 'grattol'})"
0.011578541103820918,"frozenset({'irisk', 'de_lux', 'ingarden'})"
0.012523106299132626,"frozenset({'de_lux', 'runail', 'ingarden'})"
0.01941944788640842,"frozenset({'irisk', 'de_lux', 'runail'})"
0.010644132523512564,"frozenset({'domix', 'ingarden', 'grattol'})"
0.017540474110788358,"frozenset({'irisk', 'domix', 'grattol'})"
0.01875926791119056,"frozenset({'domix', 'runail', 'grattol'})"
0.016341993540392858,"frozenset({'irisk', 'domix', 'ingarden'})"
0.01769282333583863,"frozenset({'domix', 'runail', 'ingarden'})"
0.013620020719494606,"frozenset({'masura', 'domix', 'irisk'})"
0.01013630177334498,"frozenset({'milv', 'domix', 'irisk'})"
0.036553657397062705,"frozenset({'irisk', 'domix', 'runail'})"
0.011111336813666741,"frozenset({'irisk', 'domix', 'severina'})"
0.011537914643807512,"frozenset({'irisk', 'uno', 'domix'})"
0.014889597594913567,"frozenset({'masura', 'domix', 'runail'})"
0.01062381929350586,"frozenset({'milv', 'domix', 'runail'})"
0.012208251234028723,"frozenset({'domix', 'runail', 'severina'})"
0.011862926323914766,"frozenset({'uno', 'domix', 'runail'})"
0.01152775802880416,"frozenset({'irisk', 'estel', 'runail'})"
0.011243372808710314,"frozenset({'freedecor', 'ingarden', 'grattol'})"
0.016159174470332528,"frozenset({'irisk', 'freedecor', 'grattol'})"
0.0175100042657783,"frozenset({'freedecor', 'runail', 'grattol'})"
0.015194296045014117,"frozenset({'irisk', 'freedecor', 'ingarden'})"
0.01647402953543643,"frozenset({'freedecor', 'runail', 'ingarden'})"
0.01207621523898515,"frozenset({'masura', 'freedecor', 'irisk'})"
0.0126754555241829,"frozenset({'milv', 'freedecor', 'irisk'})"
0.026610331308781408,"frozenset({'irisk', 'freedecor', 'runail'})"
0.013345792114404112,"frozenset({'masura', 'freedecor', 'runail'})"
0.013112189969327023,"frozenset({'milv', 'freedecor', 'runail'})"
0.010014422393304759,"frozenset({'irisk', 'haruyama', 'grattol'})"
0.01201527554896504,"frozenset({'runail', 'haruyama', 'grattol'})"
0.02879400353450202,"frozenset({'irisk', 'ingarden', 'grattol'})"
0.0144833329947795,"frozenset({'masura', 'ingarden', 'grattol'})"
0.03252148124073209,"frozenset({'runail', 'ingarden', 'grattol'})"
0.013802839789554938,"frozenset({'uno', 'ingarden', 'grattol'})"
0.010633975908509213,"frozenset({'irisk', 'jessnail', 'grattol'})"
0.0226390948424709,"frozenset({'masura', 'irisk', 'grattol'})"
0.013548924414471145,"frozenset({'milv', 'irisk', 'grattol'})"
0.055008226858152716,"frozenset({'irisk', 'runail', 'grattol'})"
0.01423957423469906,"frozenset({'irisk', 'severina', 'grattol'})"
0.021471084117085457,"frozenset({'irisk', 'uno', 'grattol'})"
0.012279347539052184,"frozenset({'irisk', 'zinger', 'grattol'})"
0.011446505108777347,"frozenset({'runail', 'jessnail', 'grattol'})"
0.026722054073818276,"frozenset({'masura', 'runail', 'grattol'})"
0.014615368989823073,"frozenset({'milv', 'runail', 'grattol'})"
0.010065205468321518,"frozenset({'runail', 'pole', 'grattol'})"
0.016027138475288957,"frozenset({'runail', 'severina', 'grattol'})"
0.02419305693798371,"frozenset({'uno', 'runail', 'grattol'})"
0.012898901054256638,"frozenset({'runail', 'zinger', 'grattol'})"
0.014341140384732576,"frozenset({'irisk', 'runail', 'haruyama'})"
0.020851530601881003,"frozenset({'masura', 'ingarden', 'irisk'})"
0.013894249324585103,"frozenset({'milv', 'ingarden', 'irisk'})"
0.05044790672164781,"frozenset({'irisk', 'runail', 'ingarden'})"
0.0129699973592801,"frozenset({'irisk', 'severina', 'ingarden'})"
0.016697475065510167,"frozenset({'irisk', 'uno', 'ingarden'})"
0.010776168518556136,"frozenset({'irisk', 'zinger', 'ingarden'})"
0.010278494383391902,"frozenset({'ingarden', 'runail', 'jessnail'})"
0.024121960632960248,"frozenset({'masura', 'runail', 'ingarden'})"
0.014513802839789555,"frozenset({'milv', 'runail', 'ingarden'})"
0.01430051392471917,"frozenset({'runail', 'ingarden', 'severina'})"
0.018434256231083305,"frozenset({'uno', 'runail', 'ingarden'})"
0.011598854333827622,"frozenset({'zinger', 'runail', 'ingarden'})"
0.011202746348696906,"frozenset({'irisk', 'runail', 'italwax'})"
0.0229336366775681,"frozenset({'irisk', 'runail', 'jessnail'})"
0.011832456478904711,"frozenset({'irisk', 'runail', 'kapous'})"
0.013203599504357188,"frozenset({'lianail', 'runail', 'irisk'})"
0.016524812610453188,"frozenset({'irisk', 'lovely', 'runail'})"
0.011476974953787402,"frozenset({'masura', 'milv', 'irisk'})"
0.04617197180523675,"frozenset({'masura', 'runail', 'irisk'})"
0.013203599504357188,"frozenset({'masura', 'severina', 'irisk'})"
0.012259034309045482,"frozenset({'masura', 'uno', 'irisk'})"
0.012380913689085702,"frozenset({'irisk', 'metzger', 'runail'})"
0.026061874098600418,"frozenset({'milv', 'runail', 'irisk'})"
0.010938674358609762,"frozenset({'irisk', 'nagaraku', 'runail'})"
0.01068475898352597,"frozenset({'irisk', 'runail', 'pnb'})"
0.018749111296187206,"frozenset({'irisk', 'runail', 'pole'})"
0.014767718214873347,"frozenset({'roubloff', 'runail', 'irisk'})"
0.03270430031079242,"frozenset({'irisk', 'runail', 'severina'})"
0.01442239330475939,"frozenset({'irisk', 'runail', 'staleks'})"
0.03264336062077231,"frozenset({'irisk', 'uno', 'runail'})"
0.01805846147595929,"frozenset({'irisk', 'yoko', 'runail'})"
0.02395945479290662,"frozenset({'irisk', 'runail', 'zinger'})"
0.010481626683458936,"frozenset({'masura', 'runail', 'jessnail'})"
0.012837961364236527,"frozenset({'masura', 'runail', 'milv'})"
0.014991163744947083,"frozenset({'masura', 'runail', 'severina'})"
0.01436145361473928,"frozenset({'masura', 'uno', 'runail'})"
0.010105831928334924,"frozenset({'masura', 'runail', 'zinger'})"
0.011842613093908062,"frozenset({'irisk', 'de_lux', 'bpw_style', 'runail'})"
0.013487984724451035,"frozenset({'irisk', 'domix', 'bpw_style', 'runail'})"
0.013061406894310264,"frozenset({'irisk', 'freedecor', 'bpw_style', 'grattol'})"
0.014107538239655487,"frozenset({'freedecor', 'bpw_style', 'runail', 'grattol'})"
0.012391070304089053,"frozenset({'irisk', 'freedecor', 'bpw_style', 'ingarden'})"
0.01333563549940076,"frozenset({'freedecor', 'bpw_style', 'runail', 'ingarden'})"
0.010969144203619817,"frozenset({'milv', 'freedecor', 'bpw_style', 'irisk'})"
0.021389831197058645,"frozenset({'irisk', 'freedecor', 'bpw_style', 'runail'})"
0.010755855288549433,"frozenset({'masura', 'freedecor', 'bpw_style', 'runail'})"
0.01128399926872372,"frozenset({'milv', 'freedecor', 'bpw_style', 'runail'})"
0.013792683174551585,"frozenset({'irisk', 'bpw_style', 'ingarden', 'grattol'})"
0.014686465294846534,"frozenset({'bpw_style', 'runail', 'ingarden', 'grattol'})"
0.010237867923378496,"frozenset({'masura', 'bpw_style', 'irisk', 'grattol'})"
0.02233439639237035,"frozenset({'irisk', 'bpw_style', 'runail', 'grattol'})"
0.01104024050864328,"frozenset({'masura', 'bpw_style', 'runail', 'grattol'})"
0.010451156838448881,"frozenset({'uno', 'bpw_style', 'runail', 'grattol'})"
0.010085518698328222,"frozenset({'masura', 'bpw_style', 'ingarden', 'irisk'})"
0.021450770887078755,"frozenset({'irisk', 'bpw_style', 'runail', 'ingarden'})"
0.010908204513599707,"frozenset({'masura', 'bpw_style', 'runail', 'ingarden'})"
0.017581100570801762,"frozenset({'masura', 'bpw_style', 'runail', 'irisk'})"
0.014280200694712466,"frozenset({'milv', 'bpw_style', 'runail', 'irisk'})"
0.010948830973613113,"frozenset({'irisk', 'bpw_style', 'runail', 'severina'})"
0.013183286274350484,"frozenset({'irisk', 'uno', 'bpw_style', 'runail'})"
0.010126145158341628,"frozenset({'irisk', 'de_lux', 'runail', 'ingarden'})"
0.014645838834833128,"frozenset({'irisk', 'domix', 'runail', 'grattol'})"
0.014259887464705762,"frozenset({'irisk', 'domix', 'runail', 'ingarden'})"
0.011456661723780698,"frozenset({'masura', 'domix', 'runail', 'irisk'})"
0.013234069349367243,"frozenset({'irisk', 'freedecor', 'runail', 'grattol'})"
0.01290905766925999,"frozenset({'irisk', 'freedecor', 'runail', 'ingarden'})"
0.010146458388348331,"frozenset({'masura', 'freedecor', 'runail', 'irisk'})"
0.010115988543338277,"frozenset({'milv', 'freedecor', 'runail', 'irisk'})"
0.010847264823579597,"frozenset({'masura', 'ingarden', 'irisk', 'grattol'})"
0.02382741879786305,"frozenset({'irisk', 'runail', 'ingarden', 'grattol'})"
0.010268337768388551,"frozenset({'irisk', 'uno', 'ingarden', 'grattol'})"
0.012055902008978448,"frozenset({'masura', 'runail', 'ingarden', 'grattol'})"
