antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'1487580007575323592'}),frozenset({'1487580007675986893'}),0.017779909155069763,0.1215820047413091,0.010776525090935414,0.6061068702290077,4.985169240453187,0.008614808091743677,2.2300921972652814,0.813875639709454
frozenset({'1487580007634043851'}),frozenset({'1487580007675986893'}),0.04297942416619917,0.1215820047413091,0.023471289744656978,0.5461052631578948,4.491661938950973,0.018245765191903414,1.9352901101478581,0.8122764305659141
frozenset({'2055161088059638328'}),frozenset({'1487580007675986893'}),0.018947139832425488,0.1215820047413091,0.010541269295499376,0.5563514804202483,4.575936065571557,0.008237638050559173,1.9799863100879425,0.7965579734813159
frozenset({'1487580008263189483'}),frozenset({'1487580008246412266'}),0.05243489748276299,0.1030058452016866,0.02660200148392117,0.5073339085418463,4.925292419556199,0.021200900550645378,1.820693914905858,0.8410676666224294
frozenset({'1783999067156644376'}),frozenset({'1487580008246412266'}),0.04740404278036157,0.1030058452016866,0.03837383955554751,0.8095056308455812,7.858831984345745,0.033490946062979456,4.708769916822009,0.9161855257737259
frozenset({'1487580009311764506'}),frozenset({'1487580009286598681'}),0.07702817640565338,0.14703487214752348,0.04685209649106933,0.6082462116762598,4.136747989048423,0.0355262684215072,2.1772989905271762,0.8215464449188139
frozenset({'1487580009362096156'}),frozenset({'1487580009286598681'}),0.031370455491413166,0.14703487214752348,0.017644184657702816,0.562445918661667,3.8252552639169304,0.013031633745313305,1.949393604656912,0.7624994940106429
frozenset({'1487580009521479714'}),frozenset({'1487580009445982239'}),0.017001755370165947,0.12616949275231185,0.010667945493041857,0.6274614156466205,4.973162703272605,0.008522842642089126,2.3456107473120085,0.8127386996647181
frozenset({'1487580009605365797'}),frozenset({'1487580009445982239'}),0.054154074449410956,0.12616949275231185,0.02741634846812284,0.506265664160401,4.012583811795697,0.020583756364369727,1.7698394537656221,0.7937698957731194
frozenset({'2007399943458784057'}),frozenset({'1487580009445982239'}),0.034464974031379506,0.12616949275231185,0.0180151649505058,0.5227093725387241,4.142914116052403,0.013666736659245046,1.8308143025888033,0.7857032512446634
frozenset({'1487580012902088873'}),frozenset({'1487580013011140782'}),0.02101920049222751,0.04046399681499846,0.011853272770046509,0.5639259578131727,13.936486808049244,0.011002751908275201,2.200396974727304,0.9481758021722866
frozenset({'1487580012969197740'}),frozenset({'1487580012994363565'}),0.019634810619084675,0.021037297091876437,0.010468882896903672,0.5331797235023041,25.3444974976463,0.010055819552567256,2.097086935153631,0.9797815285737473
frozenset({'1487580012969197740'}),frozenset({'1487580013011140782'}),0.019634810619084675,0.04046399681499846,0.011111312184440544,0.5658986175115207,13.985237792964725,0.010316809270086803,2.210396100755258,0.9470920038207203
frozenset({'1487580012994363565'}),frozenset({'1487580013011140782'}),0.021037297091876437,0.04046399681499846,0.010794621690584339,0.5131182795698924,12.680860022697981,0.009943368568062475,1.9707784517713147,0.9409357400173601
frozenset({'1487580013053083824'}),frozenset({'1487580013011140782'}),0.023398903346061276,0.04046399681499846,0.013472918438625383,0.5757927300850735,14.229754236033576,0.012526105288155903,2.2619508698599944,0.9520004847466704
frozenset({'2151191071118328683'}),frozenset({'1487580013522845895'}),0.01847662824155341,0.04401093034618795,0.010161240702871931,0.549951028403526,12.495782844798704,0.009348067104300514,2.1241889882840965,0.9372909780536868
frozenset({'1487580013841613016'}),frozenset({'1487580013858390233'}),0.05714001339148374,0.03812048716046255,0.033116777357534516,0.5795724465558194,15.20369989282128,0.030938572210695802,2.2878603102002555,0.9908433381059638
frozenset({'1487580013858390233'}),frozenset({'1487580013841613016'}),0.03812048716046255,0.05714001339148374,0.033116777357534516,0.8687396154759078,15.20369989282128,0.030938572210695802,7.183126805753484,0.9712511016476717
frozenset({'1783999068867920626'}),frozenset({'1783999068909863670'}),0.013916285130024068,0.033578240648582135,0.011789934671275268,0.8472041612483746,25.23074898756342,0.011322650300245036,6.324921982478645,0.9739191585633166
"frozenset({'1487580005092295511', '1487580004916134735'})",frozenset({'1487580005268456287'}),0.021761161077833473,0.17915633652436708,0.015083515807379794,0.6931392931392932,3.8689074949074955,0.011184865910158501,2.674971559158398,0.758024595907731
"frozenset({'1487580004916134735', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.019607665719611284,0.2124359832787419,0.015083515807379794,0.7692662667281958,3.621167444682969,0.010918142060433289,3.413302448469934,0.7383227510435559
"frozenset({'1487580005092295511', '1487580004916134735'})",frozenset({'1602943681873052386'}),0.021761161077833473,0.1139542879892868,0.011002732586546988,0.5056133056133056,4.436983588198453,0.008522954970102293,1.7922118901478263,0.7918533063845966
"frozenset({'1487580004916134735', '1602943681873052386'})",frozenset({'1487580005092295511'}),0.017119383267883963,0.2124359832787419,0.011002732586546988,0.6427061310782242,3.025410860997665,0.007365959568908415,2.204247218397368,0.6811268529294624
"frozenset({'1487580005050352469', '1487580005092295511'})",frozenset({'1487580005268456287'}),0.015744041694565593,0.17915633652436708,0.0109755876870736,0.6971264367816091,3.891162603041913,0.008154942854988339,2.7101859097677434,0.7548924568712118
"frozenset({'1487580005050352469', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.014685390615103423,0.2124359832787419,0.0109755876870736,0.7473813924830561,3.518148766268098,0.007855882291921695,3.117600973508786,0.7264274747977008
"frozenset({'1487580005092295511', '1487580005134238553'})",frozenset({'1487580005268456287'}),0.028122115854430953,0.17915633652436708,0.0187480772362873,0.6666666666666666,3.7211447811447806,0.01370982198449363,2.4625309904268984,0.752425286286193
"frozenset({'1487580005134238553', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.02568812320165041,0.2124359832787419,0.0187480772362873,0.7298344487495597,3.435550030109202,0.013290995525359232,2.915116353939572,0.7276169059037585
"frozenset({'1487580005595612013', '1487580005134238553'})",frozenset({'1487580005092295511'}),0.02232215566695018,0.2124359832787419,0.01191661086881775,0.5338467774625051,2.5129771765738624,0.007174581780808048,1.689496025435951,0.6158118743766258
"frozenset({'1487580005671109489', '1487580005134238553'})",frozenset({'1487580005092295511'}),0.019933404513291952,0.2124359832787419,0.010477931196728135,0.5256468452110759,2.474377631784551,0.006243358808854047,1.6602904582171596,0.607977021539795
"frozenset({'1487580006317032337', '1487580005134238553'})",frozenset({'1487580005092295511'}),0.017662281257351743,0.2124359832787419,0.011084167284967155,0.6275614754098361,2.9541204165322545,0.007332063199115943,2.114614801430393,0.6733832481097739
"frozenset({'1487580007675986893', '1487580005134238553'})",frozenset({'1487580005092295511'}),0.018033261550154726,0.2124359832787419,0.010894152988653432,0.604114400401405,2.8437479897590285,0.0070632393395235835,1.9893727317179564,0.6602580050679567
"frozenset({'1487580009286598681', '1487580005134238553'})",frozenset({'1487580005092295511'}),0.019888163014169638,0.2124359832787419,0.011943755768291138,0.6005459508644222,2.826950225642483,0.007718794302768103,1.9716010350265663,0.6593756714113066
"frozenset({'1487580005092295511', '1487580005427839846'})",frozenset({'1487580005268456287'}),0.015517834198954016,0.17915633652436708,0.01052317269585045,0.678134110787172,3.785152810907913,0.007743054369973312,2.550266092138968,0.7474080273300593
"frozenset({'1487580005427839846', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.014368700121247217,0.2124359832787419,0.01052317269585045,0.732367758186398,3.447475078764986,0.007470743757155918,2.9427097848314303,0.7202821567946284
